Group,Site,Intercept,Slope
Birds,konza_birds,0.00663117,-126.7365371
Birds,konza_birds,0.017689285,-101.3946199
Birds,konza_birds,0.017474393,-65.61299093
Birds,konza_birds,0.017560227,-96.13703763
Birds,konza_birds,0.005215114,-163.364445
Birds,konza_birds,0.007032783,-131.3959641
Birds,konza_birds,0.004639102,-119.46199
Birds,konza_birds,0.004359516,-163.9060581
Birds,konza_birds,0.008744119,-122.7036388
Birds,konza_birds,0.028119569,-54.09871607
Birds,konza_birds,0.027565946,-33.67669516
Birds,konza_birds,0.020778214,-63.43411596
Birds,konza_birds,0.018413846,-62.11691737
Birds,konza_birds,0.003479387,-170.0383077
Birds,konza_birds,0.0042005,-169.7389587
Birds,konza_birds,0.003319816,-134.3033578
Birds,konza_birds,0.004445787,-217.4901606
Birds,konza_birds,0.014082912,-81.15380897
Birds,konza_birds,NA,NA
Birds,konza_birds,0.013048663,-122.7310225
Birds,konza_birds,0.024759787,-61.3133567
Birds,konza_birds,0.012665543,-131.3460706
Birds,konza_birds,0.003544111,-312.8712501
Birds,konza_birds,NA,NA
Birds,konza_birds,NA,NA
Birds,konza_birds,0.004687694,-122.2293148
Birds,konza_birds,0.004924795,-95.72837866
Birds,konza_birds,0.008938075,-53.68855273
Birds,konza_birds,0.010040479,-140.73151
Birds,konza_birds,0.021963276,-40.13718238
Birds,konza_birds,0.003750731,-156.7662688
Birds,konza_birds,0.003441948,-200.1131661
Birds,konza_birds,0.024543445,-52.30368525
Birds,konza_birds,0.007051868,-99.51046854
Birds,konza_birds,0.016260397,-91.04134354
Birds,konza_birds,0.003716103,-190.0070493
Birds,konza_birds,0.003428721,-287.5366815
Birds,konza_gamebirds,0.132082547,-8.625532142
Birds,konza_gamebirds,0.486833235,-3.299309717
Birds,konza_gamebirds,0.227952549,-4.646870674
Birds,konza_gamebirds,0.127357037,-3.62058423
Birds,konza_raptors,0.080863861,-13.1661066
Birds,konza_raptors,NA,NA
Birds,konza_raptors,NA,NA
Birds,konza_raptors,NA,NA
Birds,konza_raptors,NA,NA
Birds,konza_raptors,0.14643634,-7.441603091
Birds,konza_raptors,0.163431577,-8.94510349
Birds,konza_raptors,0.110761907,-5.55664838
Birds,konza_raptors,NA,NA
Birds,konza_raptors,NA,NA
Birds,konza_raptors,0.061688063,-9.360250524
Birds,konza_raptors,NA,NA
Birds,konza_raptors,NA,NA
Birds,konza_songbirds,0.022369075,-69.07240472
Birds,konza_songbirds,0.02601689,-60.28789265
Birds,konza_songbirds,0.018940527,-63.22533593
Birds,konza_songbirds,0.0192235,-72.34510443
Birds,konza_songbirds,0.012597546,-108.2034508
Birds,konza_songbirds,0.009020866,-132.0925218
Birds,konza_songbirds,0.028081909,-53.05838943
Birds,konza_songbirds,0.010137641,-123.1468059
Birds,konza_songbirds,0.004468999,-192.9129123
Birds,konza_songbirds,0.028167988,-42.4768488
Birds,konza_songbirds,0.010653231,-85.54162848
Birds,konza_songbirds,0.006157373,-205.3134295
Birds,konza_songbirds,0.024399171,-35.03296223
Birds,konza_songbirds,0.006114512,-145.571993
Birds,konza_songbirds,0.034602167,-60.43822205
Birds,konza_songbirds,0.029164409,-43.66471986
Birds,konza_songbirds,0.008509958,-161.0682703
Birds,konza_songbirds,0.007928827,-147.4122521
Birds,konza_songbirds,0.013236943,-80.21802173
Birds,konza_songbirds,0.019825597,-52.18234779
Birds,konza_songbirds,0.01311548,-63.8259334
Birds,konza_songbirds,0.034137275,-26.35254413
Birds,konza_songbirds,0.017063865,-62.27827194
Birds,konza_songbirds,0.022413316,-48.35664359
Birds,konza_songbirds,0.020327295,-70.47018079
Birds,konza_songbirds,0.02934779,-47.14026457
Birds,konza_songbirds,0.006975848,-139.690464
Birds,konza_songbirds,0.020513184,-42.97030054
Birds,konza_songbirds,0.020152072,-46.996684
Birds,konza_songbirds,0.006822748,-128.4745324
Birds,konza_songbirds,0.031275678,-39.54185412
Birds,konza_songbirds,0.006332478,-174.4418541
Birds,konza_songbirds,0.034074523,-41.66988486
Birds,konza_songbirds,0.015064298,-64.04693227
Birds,konza_songbirds,0.024345477,-70.45138311
Birds,konza_songbirds,0.007640756,-151.1093593
Birds,konza_songbirds,0.017966178,-36.63127323
Birds,konza_songbirds,0.019734951,-63.04031109
Birds,konza_songbirds,0.019939368,-64.2606245
Birds,konza_songbirds,0.005758905,-183.5859596
Birds,konza_songbirds,0.007577913,-124.7032175
Birds,konza_songbirds,0.00531543,-159.0569696
Birds,konza_songbirds,0.005165784,-147.8004507
Birds,konza_songbirds,0.009586918,-117.4228669
Birds,konza_songbirds,0.024370107,-56.42546226
Birds,konza_songbirds,0.021052044,-58.35184128
Birds,konza_songbirds,0.003960799,-265.4067876
Birds,konza_songbirds,0.004510734,-231.8642102
Birds,konza_songbirds,NA,NA
Birds,konza_songbirds,0.004791099,-213.6686513
Birds,konza_songbirds,0.015384137,-78.06728431
Birds,konza_songbirds,0.010479031,-84.80457659
Birds,konza_songbirds,0.014396987,-74.21179541
Birds,konza_songbirds,0.028020246,-39.98797451
Birds,konza_songbirds,0.003814463,-250.008986
Birds,konza_songbirds,NA,NA
Birds,konza_songbirds,NA,NA
Birds,konza_songbirds,0.005193136,-115.512835
Birds,konza_songbirds,0.005876485,-120.9308298
Birds,konza_songbirds,0.009234751,-157.4527123
Birds,konza_songbirds,0.012021031,-100.7896206
Birds,konza_songbirds,0.024455152,-66.01741898
Birds,konza_songbirds,0.004088176,-90.10443433
Birds,konza_songbirds,NA,NA
Birds,konza_songbirds,0.027478117,-48.62608912
Birds,konza_songbirds,0.018638103,-39.60549182
Birds,konza_songbirds,0.004365055,-199.1271501
Birds,konza_songbirds,0.003853605,-267.4324578
Birds,konza_waterfowl,0.121085168,-7.686959359
Birds,konza_waterfowl,NA,NA
Birds,konza_waterfowl,0.066797143,-8.090255014
Birds,konza_waterfowl,0.081467994,-11.18016314
Birds,konza_waterfowl,NA,NA
Birds,konza_waterfowl,0.519149393,-4.368602846
Birds,konza_waterfowl,NA,NA
Birds,mountainbird_maine,0.071452487,-24.68023359
Birds,mountainbird_maine,0.067999662,-10.5414971
Birds,mountainbird_maine,NA,NA
Birds,mountainbird_maine,0.027399882,-33.14609593
Birds,mountainbird_maine,0.025877325,-25.38377742
Birds,mountainbird_maine,0.032313125,-20.67726708
Birds,mountainbird_maine,NA,NA
Birds,mountainbird_maine,0.021570938,-45.20650775
Birds,mountainbird_maine,0.023996202,-33.57281496
Birds,mountainbird_maine,0.074040832,-22.09916109
Birds,mountainbird_maine,NA,NA
Birds,mountainbird_maine,0.024988639,-52.07263891
Birds,mountainbird_maine,0.02396953,-34.52964527
Birds,mountainbird_maine,0.019403695,-41.69743953
Birds,mountainbird_maine,0.018704471,-49.45685107
Birds,mountainbird_maine,0.035178737,-37.92214647
Birds,mountainbird_maine,0.042422672,-21.03846103
Birds,mountainbird_maine,0.037419545,-26.71802337
Birds,mountainbird_maine,0.030184089,-9.411373069
Birds,mountainbird_maine,0.024928688,-46.04098105
Birds,mountainbird_maine,0.030527526,-16.11986184
Birds,mountainbird_maine,0.017069737,-23.85308114
Birds,mountainbird_maine,0.037499965,-45.98391769
Birds,mountainbird_maine,0.034655836,-47.02416139
Birds,mountainbird_maine,0.074546554,-24.44333823
Birds,mountainbird_maine,0.077229948,-22.26095526
Birds,mountainbird_maine,0.038396356,-28.64987722
Birds,mountainbird_maine,0.015123029,-21.88634363
Birds,mountainbird_ny,0.016115821,-58.57645855
Birds,mountainbird_ny,0.058191044,-36.15478375
Birds,mountainbird_ny,0.014789212,-50.07945579
Birds,mountainbird_ny,NA,NA
Birds,mountainbird_ny,0.024393901,-56.68699209
Birds,mountainbird_ny,0.064190109,-26.64336429
Birds,mountainbird_ny,0.032243333,-22.23458741
Birds,mountainbird_ny,0.026760044,-39.93486977
Birds,mountainbird_ny,0.024973664,-50.35156153
Birds,mountainbird_ny,0.023606257,-71.73866958
Birds,mountainbird_ny,0.024894898,-46.9057696
Birds,mountainbird_ny,0.014094225,-55.71956818
Birds,mountainbird_ny,0.015362203,-48.58645712
Birds,mountainbird_ny,0.02162856,-66.85063214
Birds,mountainbird_ny,0.027239498,-28.38723756
Birds,mountainbird_ny,0.020597298,-42.32903978
Birds,mountainbird_ny,0.05490045,-26.7819075
Birds,mountainbird_ny,0.026376507,-48.82030983
Birds,mountainbird_ny,NA,NA
Birds,mountainbird_ny,0.030739817,-59.90154718
Birds,mountainbird_ny,0.020009977,-57.83718122
Birds,mountainbird_ny,0.024709237,-40.21110222
Birds,mountainbird_ny,0.019170409,-65.41185558
Birds,mountainbird_ny,0.023550984,-53.00907641
Birds,mountainbird_ny,0.024170057,-52.82611765
Birds,mountainbird_ny,0.018945173,-57.96842659
Birds,mountainbird_ny,0.022630225,-54.63827997
Birds,mountainbird_ny,0.024692572,-43.04682737
Birds,mountainbird_ny,0.024764759,-54.12208584
Birds,mountainbird_ny,0.032362212,-34.19113157
Birds,mountainbird_ny,0.02219234,-47.07699044
Birds,mountainbird_ny,0.05991443,-24.09760022
Birds,mountainbird_ny,0.055536098,-35.04345706
Birds,mountainbird_ny,0.025008681,-24.12405112
Birds,mountainbird_ny,0.020128412,-57.83053287
Birds,mountainbird_ny,0.02068018,-49.29681934
Birds,mountainbird_vt,0.014859574,-48.92997674
Birds,mountainbird_vt,0.02552028,-25.2834928
Birds,mountainbird_vt,0.052965516,-24.34459024
Birds,mountainbird_vt,0.014613668,-59.21908623
Birds,mountainbird_vt,0.014871385,-51.52937771
Birds,mountainbird_vt,0.019863193,-47.64581889
Birds,mountainbird_vt,0.069271808,-19.79722541
Birds,mountainbird_vt,0.016554467,-52.60922614
Birds,mountainbird_vt,0.023603379,-40.2576992
Birds,mountainbird_vt,0.017369898,-66.403139
Birds,mountainbird_vt,0.023146962,-36.14018521
Birds,mountainbird_vt,0.015336886,-39.08740863
Birds,mountainbird_vt,0.01508734,-53.06358132
Birds,mountainbird_vt,0.014987172,-34.56328464
Birds,mountainbird_vt,0.015201999,-45.10593156
Birds,mountainbird_vt,0.015074766,-59.557018
Birds,mountainbird_vt,0.019025371,-36.89235842
Birds,mountainbird_vt,0.01381451,-78.57608443
Birds,mountainbird_vt,0.018884162,-39.37735038
Birds,mountainbird_vt,0.067064316,-19.16638136
Birds,mountainbird_vt,0.025137652,-39.66657294
Birds,mountainbird_vt,0.029304685,-26.75818003
Birds,mountainbird_vt,0.013031273,-61.27380911
Birds,mountainbird_vt,0.027512724,-40.88580702
Birds,mountainbird_vt,0.016778459,-59.44700937
Birds,mountainbird_vt,0.013708569,-99.34213807
Birds,mountainbird_vt,0.032394153,-36.73770924
Birds,mountainbird_vt,0.026593243,-44.49681707
Birds,mountainbird_vt,0.013124333,-89.14802799
Birds,mountainbird_vt,0.023310653,-40.37366843
Birds,mountainbird_vt,0.027719433,-33.26830983
Birds,mountainbird_vt,0.016236814,-41.0334408
Birds,mountainbird_vt,0.019766657,-62.02453186
Birds,mountainbird_vt,0.032695634,-33.3574268
Birds,mountainbird_vt,0.065030651,-26.4161883
Birds,mountainbird_vt,0.067361189,-15.54486944
Birds,mountainbird_vt,0.02656098,-19.70586903
Birds,mountainbird_vt,0.017584849,-56.61252971
Birds,pawnee_birds,0.030086796,-46.50821569
Birds,pawnee_birds,0.388591016,0.661630009
Birds,pawnee_birds,0.05395493,-22.53343952
Birds,pawnee_birds,0.02674651,-51.73042264
Birds,pawnee_birds,0.017115779,-33.9409928
Birds,pawnee_birds,0.036182429,-38.51467573
Birds,pawnee_birds,0.039438135,-38.63392618
Birds,pawnee_birds,0.02883844,-57.88357944
Birds,pawnee_birds,0.021334909,-61.09138049
Birds,pawnee_birds,0.055697603,-26.2807469
Birds,pawnee_birds,0.033022689,-54.67424344
Birds,pawnee_birds,0.058136961,-27.3533741
Birds,pawnee_birds,0.023523948,-69.45867469
Birds,pawnee_birds,0.044448956,-45.97034657
Birds,pawnee_birds,0.059657539,-10.37924487
Birds,pawnee_birds,0.052570708,-26.46556637
Birds,pawnee_birds,0.05708429,-28.47430648
Birds,pawnee_birds,0.021970761,-35.07220949
Birds,pawnee_birds,0.064062414,-21.61835807
Birds,pawnee_birds,0.032948769,-37.60810425
Birds,pawnee_birds,0.047397145,-26.58724379
Birds,pawnee_birds,NA,NA
Birds,pawnee_birds,0.046031097,-14.83304577
Birds,pawnee_birds,0.039672455,-35.74089751
Birds,pawnee_birds,0.053655718,-41.53259836
Birds,pawnee_raptors,0.237478525,-3.483587509
Birds,pawnee_raptors,0.234621971,-6.86722955
Birds,pawnee_raptors,-0.003834453,1.729649709
Birds,pawnee_raptors,0.288391681,-3.829714084
Birds,pawnee_raptors,0.298243708,-1.60618016
Birds,redvers,0.108961169,-14.23539909
Birds,redvers,0.1082033,-18.38053187
Birds,redvers,0.072689241,-17.20227871
Birds,redvers,0.099723739,-14.38739288
Birds,redvers,0.143309894,-9.618206282
Birds,redvers,0.084281156,-12.01325785
Birds,redvers,0.086322311,-15.06047825
Birds,redvers,0.079214158,-13.34353414
Birds,redvers,0.058822822,-21.14874614
Birds,redvers,0.075461519,-12.96608813
Birds,redvers,0.024551566,-28.40424228
Birds,redvers,0.030133372,-31.24569111
Birds,redvers,0.029876719,-39.06844109
Birds,skokholm,0.143380526,-9.962011597
Birds,skokholm,0.115230098,-8.554342166
Birds,skokholm,0.131483949,-9.465847539
Birds,skokholm,0.116992872,-14.79267711
Birds,skokholm,0.133410801,-9.760448055
Birds,skokholm,0.047005984,-9.903728634
Birds,skokholm,0.06133453,-21.50202126
Birds,skokholm,0.036040996,-15.18535483
Birds,skokholm,0.032928518,-22.32326755
Birds,skokholm,0.027419661,-23.17055805
Birds,skokholm,0.026830434,-28.3529946
Birds,skokholm,0.026422483,-16.68972969
Birds,skokholm,0.026428525,-19.95325423
Birds,skokholm,0.026604602,-17.06911486
Birds,skokholm,0.026987144,-19.3863822
Birds,skokholm,0.026035643,-16.54469906
Birds,skokholm_carrion,0.210315283,-4.002718577
Birds,skokholm_carrion,0.304232304,-3.804320053
Birds,skokholm_carrion,0.116708606,-4.786813667
Birds,skokholm_carrion,0.133101238,-5.572824907
Birds,skokholm_carrion,0.119614634,-3.344897548
Birds,skokholm_carrion,0.114722808,-3.112176534
Birds,skokholm_water,0.443950459,-5.266114529
Birds,skokholm_water,0.106066904,-5.52371183
Birds,skokholm_water,0.089580997,-3.466028531
Birds,skokholm_water,0.091389278,-4.324206615
Birds,skokholm_water,0.095416623,-2.746458698
Birds,skokholm_water,0.087203376,-1.97670785
Birds,skokholm_water,0.086510984,-3.0100771
Birds,texas,0.038754916,-32.42963553
Birds,texas,0.030119272,-23.62457804
Birds,texas,0.060265499,-15.27337071
Birds,texas,0.068862378,-16.88202429
Birds,texas,0.104307694,-12.04942935
Birds,texas,0.110734394,-13.52924685
Birds,texas,0.146775011,-15.02264186
Birds,texas,0.054378291,-19.49715694
Birds,texas,0.070567177,-21.60330187
Birds,texas,0.09535279,-17.17856281
Birds,texas,0.061322255,-25.98788936
Birds,texas,0.061118235,-19.31690703
Birds,texas,0.050647954,-23.5149823
Birds,texas,0.049770086,-15.46687475
Birds,whitemountain,0.043982504,-26.76897458
Birds,whitemountain,0.033301839,-30.45942803
Birds,whitemountain,0.032407513,-41.92690249
Birds,whitemountain,0.018879869,-32.58902822
Birds,whitemountain,0.025403111,-37.87522982
Birds,whitemountain,0.042372608,-23.24863728
Birds,whitemountain,0.017894742,-38.19603273
Birds,whitemountain,0.028436558,-43.91117186
Birds,whitemountain,0.030634293,-41.25577525
Birds,whitemountain,0.01888949,-41.07007224
Birds,whitemountain,0.04544294,-22.93985925
Birds,whitemountain,0.038346644,-25.96951578
Birds,whitemountain,0.019220118,-50.43475072
Birds,whitemountain,0.020198305,-38.27882446
Birds,whitemountain,0.089993019,-13.08131366
Birds,whitemountain,0.087239119,-12.43984017
Birds,whitemountain,0.085374902,-19.54418449
Birds,whitemountain,0.019629961,-39.37481118
Birds,whitemountain,0.023990011,-39.67565125
Birds,whitemountain,0.100173503,-14.29316492
Birds,whitemountain,0.097764782,-16.08597942
Birds,whitemountain,0.038344411,-34.09008992
Birds,whitemountain,0.048258671,-16.49532817
Fish,hinkleyflatfish,NA,NA
Fish,hinkleyflatfish,0.253615385,-6.103430028
Fish,hinkleyflatfish,NA,NA
Fish,hinkleyflatfish,0.220640311,-6.855008426
Fish,hinkleyflatfish,0.114484278,-14.6122719
Fish,hinkleyflatfish,NA,NA
Fish,hinkleyflatfish,0.055032666,-20.17408151
Fish,hinkleyflatfish,0.238047951,-4.963353974
Fish,hinkleyflatfish,NA,NA
Fish,hinkleygadoidfish,0.121546604,-14.76371226
Fish,hinkleygadoidfish,0.058552487,-17.83082073
Fish,hinkleygadoidfish,0.108237073,-12.78362943
Fish,hinkleygadoidfish,NA,NA
Fish,hinkleygadoidfish,0.124633558,-7.669556313
Fish,hinkleygadoidfish,0.079954965,-14.9211054
Fish,hinkleygadoidfish,NA,NA
Fish,hinkleygadoidfish,NA,NA
Fish,hinkleygadoidfish,0.060374805,-23.53301501
Fish,hinkleygadoidfish,NA,NA
Fish,hinkleygadoidfish,NA,NA
Fish,hinkleygadoidfish,0.089902283,-18.73308561
Fish,hinkleygadoidfish,0.127947367,-15.34112484
Fish,hinkleygadoidfish,0.140488752,-11.5001571
Fish,northseademersal,0.09673228,-9.391226028
Fish,northseademersal,0.112563761,-10.96180645
Fish,northseademersal,0.204136729,-4.874718673
Fish,northseademersal,0.191649429,-8.454842908
Fish,northseademersal,0.226252218,-7.683081404
Fish,northseademersal,0.079109984,-14.22207007
Fish,northseademersal,0.073819123,-11.64882411
Fish,northseaflatfish,0.130701113,-11.34588983
Fish,northseaflatfish,0.114810634,-7.013869476
Fish,northseaflatfish,0.077230697,-9.793688655
Fish,northseaflatfish,0.096357033,-10.85262769
Fish,northseaflatfish,0.079914422,-17.63289599
Fish,northseaflatfish,0.064939541,-17.35914353
Fish,northseaflatfish,0.104762396,-9.884870693
Fish,northseaflatfish,0.097280375,-19.00414467
Fish,northseaflatfish,0.064979137,-16.05719695
Fish,northseaflatfish,0.101211255,-17.91882857
Fish,northseaflatfish,0.082904141,-15.91665966
Fish,northseagadoid,0.096408052,-7.115238765
Fish,northseagadoid,0.130458719,-6.926696704
Fish,northseagadoid,0.132690286,-14.01353625
Fish,northseagadoid,0.078225624,-14.33192539
Fish,northseagadoid,0.188520342,-8.56727761
Fish,northseagadoid,0.09667269,-7.859423565
Fish,northseagadoid,0.068359324,-11.361213
Fish,northseagadoid,0.06626809,-17.55969454
Fish,northseagadoid,0.126717287,-11.96150114
Fish,northseapelagic,0.333828945,-3.359710397
Fish,northseapelagic,0.417557178,-3.26917518
Fish,northseapelagic,0.297055015,-3.008414857
Herps,boldpark,0.056038278,-10.84462015
Herps,boldpark,0.044130816,-50.11228715
Herps,boldpark,0.051242886,-32.01562593
Herps,boldpark,0.043127646,-42.2692538
Herps,boldpark,0.034097813,-43.0361314
Herps,boldpark,0.030644135,-32.50292419
Herps,boldpark,0.044229487,-20.72656011
Herps,boldpark,0.058857242,-16.80737343
Herps,boldpark,0.049559903,-35.19695755
Herps,boldpark,0.046845285,-30.58160367
Herps,boldpark,0.050437054,-17.11581096
Herps,boldpark,0.043279671,-20.85370386
Herps,boldpark,0.034711192,-41.82471562
Herps,boldpark,NA,NA
Herps,boldpark,0.034930783,-41.52387452
Herps,boldpark,0.037261247,-45.25586407
Herps,boldpark,0.028959732,-52.64341473
Herps,boldpark,0.048862817,-46.80799002
Herps,boldpark,0.046438735,-27.40270376
Herps,boldpark,0.040107856,-22.93319769
Herps,boldpark,0.018609285,-29.94888266
Herps,boldpark,0.029522115,-43.72078785
Herps,boldpark,0.037183502,-61.25380301
Herps,boldpark,0.030552156,-32.82536636
Herps,boldpark,0.021128188,-74.6625565
Herps,boldpark,0.041977521,-49.43870071
Herps,boldparklizards,0.062228293,-20.20463779
Herps,boldparklizards,0.058716411,-36.28122197
Herps,boldparklizards,0.058115455,-13.69206395
Herps,boldparklizards,0.046418619,-6.989231841
Herps,boldparklizards,0.042944075,-22.83501029
Herps,boldparklizards,0.037704965,-56.49436067
Herps,boldparklizards,0.064672478,-37.80282257
Herps,boldparklizards,0.064664559,-14.53740082
Herps,boldparklizards,0.06281169,-20.06856428
Herps,boldparklizards,0.072907798,-14.95895924
Herps,boldparklizards,0.059880782,-15.60359777
Herps,boldparklizards,0.05603689,-16.68782184
Herps,boldparklizards,0.045211299,-12.73818278
Herps,boldparklizards,NA,NA
Herps,boldparklizards,0.03586757,-34.19517494
Herps,boldparklizards,0.055488522,-19.17991462
Herps,boldparklizards,0.043821787,-23.57006601
Herps,boldparklizards,0.023699405,-69.92034091
Herps,boldparklizards,0.055956074,-28.50552057
Herps,boldparksnakes,0.172424099,-3.725539736
Herps,boldparksnakes,0.118119392,-2.720527927
Herps,boldparksnakes,0.199670251,-10.16442222
Herps,boldparksnakes,0.162076871,-8.612320023
Herps,boldparksnakes,0.075150081,-7.666432836
Herps,boldparksnakes,0.136141355,-7.486158132
Herps,boldparksnakes,-0.000488864,-1.701301374
Herps,coweetasalamanders,0.205369162,-3.885341789
Herps,coweetasalamanders,0.201996151,-6.791514706
Herps,coweetasalamanders,0.315327871,-3.93724488
Herps,coweetasalamanders,0.240741532,-3.798092294
Herps,cowleycounty,0.028160928,-19.96733102
Herps,cowleycounty,0.027310379,-40.66923311
Herps,cowleycounty,0.072114111,-25.2151986
Herps,cowleycounty,0.052773741,-19.99238667
Herps,cowleycounty,0.078771391,-15.04150715
Herps,cowleycounty,0.045527325,-28.65824815
Herps,cowleycounty,0.026362051,-42.51796786
Herps,cowleycounty,0.07226542,-10.42970916
Herps,cowleycounty,0.029994482,-56.02214704
Herps,cowleycounty,0.040707223,-21.80742275
Herps,cowleycounty,0.036200398,-31.06106895
Herps,cowleycounty,0.035746777,-23.66228412
Herps,cowleycounty,0.033316131,-34.28593929
Herps,cowleycounty,0.049231822,-26.45526816
Herps,cowleycounty,NA,NA
Herps,cowleycounty,NA,NA
Herps,cowleycounty,0.037984981,-21.2367914
Herps,cowleycounty,0.026243219,-27.07607239
Herps,cowleycounty,0.077958478,-10.72242069
Herps,cowleycounty,0.032267783,-44.70831298
Herps,cowleycounty,0.02647618,-30.61753552
Herps,cowleycounty,0.062043643,-23.90181511
Herps,cowleycounty,0.032514883,-34.81684006
Herps,cowleylizards,0.117559554,-2.701926557
Herps,cowleylizards,0.194339654,-5.99727254
