Group,site,species,intercept,slope,Persistence,Mean,Median,RA,Pcat,rare
Birds,EasternWood,Nightingale,0.004549485,187.1858458,0.233333333,0.266666667,0,0.001532259,N,R
Birds,EasternWood,HouseSparrow,NA,NA,0.066666667,0.066666667,0,0.000361467,N,R
Birds,EasternWood,LesserWhitethroat,NA,NA,0.066666667,0.066666667,0,0.000425474,N,R
Birds,EasternWood,Redpoll,NA,NA,0.066666667,0.1,0,0.000510638,N,R
Birds,EasternWood,Greenfinch,NA,NA,0.1,0.1,0,0.000528134,N,R
Birds,EasternWood,Hawfinch,NA,NA,0.1,0.1,0,0.000531222,N,R
Birds,EasternWood,StockDove,NA,NA,0.166666667,0.166666667,0,0.00089253,N,R
Birds,EasternWood,Mandarin,NA,NA,0.2,0.233333333,0,0.001189098,N,R
Birds,EasternWood,SpottedFlycatcher,NA,NA,0.233333333,0.233333333,0,0.001418712,N,R
Birds,EasternWood,Sparrowhawk,NA,NA,0.366666667,0.366666667,0,0.002267478,N,R
Birds,EasternWood,Woodcock,NA,NA,0.4,0.4,0,0.002314892,N,R
Birds,EasternWood,LesserSpottedWoodpecker,NA,NA,0.566666667,0.633333333,1,0.003527908,N,R
Birds,EasternWood,TawnyOwl,NA,NA,0.933333333,0.933333333,1,0.005587501,N,R
Birds,EasternWood,WillowTit,NA,NA,0.833333333,0.966666667,1,0.005690599,N,R
Birds,EasternWood,MarshTit,NA,NA,1,2.666666667,2.5,0.016574356,N,R
Birds,GreenMountains,AmericanCrow,0.002898656,-1326.019225,0.161290323,0.642857143,0,0.097143056,P,R
Birds,GreenMountains,CedarWaxwing,0.002703354,-1269.834371,0.161290323,0.714285714,0,0.09720173,P,R
Birds,GreenMountains,Ovenbird,0.002528666,-816.9354916,0.161290323,0.785714286,0,0.097194693,P,R
Birds,GreenMountains,RedeyedVireo,0.001774703,-810.3720317,0.290322581,0.75,0,0.098318577,P,R
Birds,GreenMountains,CanadaWarbler,0.002474557,-747.7549315,0.225806452,0.928571429,0,0.09732348,P,R
Birds,GreenMountains,MourningWarbler,0.002025567,-623.8563593,0.161290323,0.571428571,0,0.097815717,P,R
Birds,GreenMountains,CommonRaven,0.002202232,-464.282173,0.322580645,1.142857143,0,0.097570072,P,R
Birds,GreenMountains,BrownCreeper,0.002175565,-453.362336,0.290322581,0.642857143,0,0.098049948,P,R
Birds,GreenMountains,BlackburnianWarbler,0.001697911,-439.8643455,0.258064516,0.535714286,0,0.097220294,P,R
Birds,GreenMountains,ChestnutsidedWarbler,0.001296744,-393.5303489,0.193548387,0.607142857,0,0.097207815,P,R
Birds,GreenMountains,BlackthroatedBlueWarbler,0.004612416,-247.5905726,0.258064516,1.535714286,0,0.097794705,P,R
Birds,GreenMountains,BlackcappedChickadee,0.004145938,-219.4100084,0.387096774,2.5,0,0.099299334,P,R
Birds,GreenMountains,HermitThrush,0.012530821,-182.4223234,0.451612903,6.535714286,1,0.107209442,P,R
Birds,GreenMountains,CommonYellowthroat,0.001207263,-176.7854067,0.225806452,0.5,0,0.099247139,P,R
Birds,GreenMountains,MourningDove,0.005166224,-157.918822,0.290322581,1.392857143,0,0.100168088,P,R
Birds,GreenMountains,GoldencrownedKinglet,0.009495141,-137.3411529,0.387096774,4.785714286,0,0.100447726,P,R
Birds,GreenMountains,BlueheadedVireo,0.005354121,-116.0886698,0.322580645,2.464285714,0,0.098457474,P,R
Birds,GreenMountains,BlueJay,0.002935982,-111.7680337,0.322580645,2.535714286,0,0.098587272,P,R
Birds,GreenMountains,RedbreastedNuthatch,0.013746257,-99.9643398,0.387096774,6.428571429,0,0.102980668,P,R
Birds,GreenMountains,NashvilleWarbler,0.013987637,-98.45934331,0.387096774,6.75,0,0.10186647,P,R
Birds,GreenMountains,RubycrownedKinglet,0.009348735,-82.57228308,0.387096774,2.857142857,0,0.099396017,P,R
Birds,GreenMountains,YellowrumpedWarbler,0.017397553,-69.84483495,0.258064516,6.964285714,0,0.101827172,P,R
Birds,GreenMountains,YellowbelliedFlycatcher,0.02580001,-47.34649005,0.387096774,12.64285714,0,0.106609824,P,R
Birds,GreenMountains,BorealChickadee,0.002229457,-43.58176208,0.258064516,1.607142857,0,0.098640227,P,R
Birds,GreenMountains,MagnoliaWarbler,0.032039533,-27.19932139,0.419354839,17.10714286,0,0.11197073,P,R
Birds,GreenMountains,BlackthroatedGreenWarbler,0.006499302,-13.33685632,0.419354839,3.821428571,0,0.101503636,P,R
Birds,GreenMountains,DarkeyedJunco,0.029323127,-12.16354535,0.322580645,10.89285714,0,0.110137893,P,R
Birds,GreenMountains,SlatecoloredJunco,0.025037412,-10.84548661,0.451612903,20,1,0.118262041,P,R
Birds,GreenMountains,BicknellsThrush,0.074370628,-7.64981076,0.709677419,45.25,50,0.149365009,P,R
Birds,GreenMountains,PurpleFinch,0.028180579,-7.013173713,0.483870968,3.821428571,1.5,0.108889186,P,R
Birds,GreenMountains,AmericanRobin,0.052757808,-6.509013095,0.419354839,6.035714286,0,0.12201857,P,R
Birds,GreenMountains,MyrtleWarbler,0.020074888,-2.148322093,0.516129032,28.42857143,4,0.138779834,P,R
Birds,GreenMountains,EurasianWren,0.192195034,-1.359843331,0.870967742,105.9642857,99.5,0.237334649,P,C
Birds,GreenMountains,BlackpollWarbler,0.146792463,-0.383348122,0.870967742,125.2142857,122.5,0.255645293,P,C
Birds,GreenMountains,WhitethroatedSparrow,0.187048418,-0.264266822,0.903225806,151.6071429,140.5,0.32911326,P,C
Birds,GreenMountains,SwainsonsThrush,0.135273065,2.548530382,0.774193548,110.6428571,118.5,0.213095225,N,R
Birds,GreenMountains,LeastFlycatcher,NA,NA,0.129032258,0.285714286,0,0.096960629,N,R
Birds,GreenMountains,BlackandwhiteWarbler,NA,NA,0.225806452,0.535714286,0,0.099992267,N,R
Birds,Hubbard,Purple.Finch,0.019385164,-123.2080767,0.095238095,0.282051282,0,0.00144359,P,R
Birds,Hubbard,Downy.Woodpecker,0.017793296,-51.01677249,0.666666667,2.096774194,2,0.016311498,P,R
Birds,Hubbard,Dark.eyed.Junco,0.027577804,-46.97909562,0.30952381,1.341463415,0,0.00803072,P,R
Birds,Hubbard,Solitary.Vireo,0.022515572,-44.32722731,0.476190476,1.138888889,0.5,0.010573379,P,R
Birds,Hubbard,Brown.Creeper,0.010896139,-43.74068819,0.452380952,0.797297297,0.5,0.007738684,P,R
Birds,Hubbard,Winter.Wren,0.014859279,-41.52713772,0.69047619,1.307692308,1,0.011368635,P,R
Birds,Hubbard,White.br..Nuthatch,0.01455858,-36.29585108,0.857142857,1.918918919,2,0.016351762,P,R
Birds,Hubbard,Yellow.r..Warbler,0.020878837,-32.44237809,0.5,1.125,0.75,0.011051908,P,R
Birds,Hubbard,Hairy.Woodpecker,0.016684582,-25.12317373,0.976190476,1.914634146,2,0.017398135,P,R
Birds,Hubbard,Blackburnian.Warbler,0.024919515,-24.86261698,0.833333333,2.575,2,0.021307132,P,R
Birds,Hubbard,Black.c..Chickadee,0.013252533,-24.06449152,0.619047619,1.566666667,1.5,0.014728191,P,R
Birds,Hubbard,Rose.br..Grosbeak,0.033355205,-22.31492026,0.904761905,4.197368421,4,0.033583984,P,R
Birds,Hubbard,Philadelphia.Vireo,0.020363033,-20.97015566,0.333333333,1.261904762,0,0.007473868,P,R
Birds,Hubbard,Yellow.b.Sapsucker,0.02514859,-20.61233382,1,2.964285714,3,0.025888155,P,R
Birds,Hubbard,Veery,0.022069756,-19.50621802,0.761904762,2,2,0.017270522,P,R
Birds,Hubbard,Scarlet.tanager,0.028532626,-17.11206054,1,3.321428571,3,0.028695432,P,R
Birds,Hubbard,Hermit.thrush,0.03341426,-16.79272944,0.976190476,3.761904762,3.75,0.033028886,P,R
Birds,Hubbard,Swainsons.thrush,0.030870362,-16.34825017,0.738095238,3.581081081,2.5,0.024987209,P,R
Birds,Hubbard,Wood.thrush,0.022154528,-14.81198556,0.476190476,2.1375,0.25,0.013173294,P,R
Birds,Hubbard,Bk..thr..Blue.Warbler,0.093660646,-5.631912773,1,10.02380952,10.25,0.090449846,P,R
Birds,Hubbard,Ovenbird,0.128116177,-1.730218496,1,12.52380952,11,0.114534934,P,R
Birds,Hubbard,American.Redstart,0.077608318,-1.501642227,0.976190476,16.7195122,13,0.127452418,P,R
Birds,Hubbard,Bk..thr..Green.Warbler,0.142546742,-0.956344992,1,12.51190476,12.75,0.120308751,P,R
Birds,Hubbard,Red.eyed.Vireo,0.206283091,-0.645622395,1,22.11904762,22,0.200678021,P,R
Birds,Hubbard,Least.Flycatcher,0.301023692,2.072027684,0.380952381,9.512195122,0,0.054035046,N,R
Birds,KonzaSongbirds,YellowWarbler,0.001015423,-1425.992185,0.321428571,0.535714286,0,0.000420835,P,R
Birds,KonzaSongbirds,VesperSparrow,0.001620048,-997.2202639,0.178571429,0.571428571,0,0.000286435,P,R
Birds,KonzaSongbirds,SongSparrow,0.002246488,-841.1204254,0.428571429,1.428571429,0,0.0009552,P,R
Birds,KonzaSongbirds,BlackandwhiteWarbler,0.002575514,-808.9055336,0.321428571,1,0,0.000719827,P,R
Birds,KonzaSongbirds,NorthernParula,0.00265423,-655.6043844,0.321428571,0.75,0,0.000743596,P,R
Birds,KonzaSongbirds,NorthernRoughwingedSwallow,0.001787801,-437.8884331,0.321428571,1.035714286,0,0.000633228,P,R
Birds,KonzaSongbirds,LouisianaWaterthrush,0.00270434,-430.5758421,0.821428571,2.964285714,2,0.002249738,P,R
Birds,KonzaSongbirds,SavannahSparrow,0.00541674,-417.2576495,0.178571429,2.928571429,0,0.001659942,P,R
Birds,KonzaSongbirds,KentuckyWarbler,0.0026954,-362.1814944,0.607142857,1.25,1,0.001272715,P,R
Birds,KonzaSongbirds,OrangecrownedWarbler,0.002194523,-333.6846793,0.178571429,0.75,0,0.000397494,P,R
Birds,KonzaSongbirds,BewicksWren,0.003771376,-329.2950835,0.714285714,2.928571429,3,0.002517795,P,R
Birds,KonzaSongbirds,RubycrownedKinglet,0.004353005,-316.2149602,0.142857143,0.857142857,0,0.000459345,P,R
Birds,KonzaSongbirds,BarnSwallow,0.003844232,-256.5944178,0.571428571,2.75,1.5,0.002211081,P,R
Birds,KonzaSongbirds,SummerTanager,0.003864593,-240.3288719,0.785714286,2.714285714,2.5,0.002598976,P,R
Birds,KonzaSongbirds,HairyWoodpecker,0.001887869,-224.1335573,0.857142857,2.178571429,2,0.001899427,P,R
Birds,KonzaSongbirds,WarblingVireo,0.000407984,-194.0240231,0.25,0.964285714,0,0.000483433,P,R
Birds,KonzaSongbirds,LarkSparrow,0.003199575,-186.5407776,0.571428571,2.25,1,0.001942198,P,R
Birds,KonzaSongbirds,DownyWoodpecker,0.005622892,-186.2574864,0.964285714,7.107142857,6.5,0.00609829,P,R
Birds,KonzaSongbirds,BaltimoreOriole,0.004551383,-181.4525118,0.892857143,4.714285714,3.5,0.003910142,P,R
Birds,KonzaSongbirds,DarkeyedJunco,0.011749298,-168.0869055,0.678571429,14.42857143,7,0.024025375,P,R
Birds,KonzaSongbirds,CarolinaWren,0.006737807,-142.7045064,0.571428571,3.214285714,1,0.003798167,P,R
Birds,KonzaSongbirds,BrownCreeper,0.00663988,-139.3538332,0.428571429,1.75,0,0.00135265,P,R
Birds,KonzaSongbirds,LeContesSparrow,0.009521572,-132.8371685,0.25,4.857142857,0,0.002308395,P,R
Birds,KonzaSongbirds,GoldencrownedKinglet,0.00487388,-126.2046336,0.428571429,2.714285714,0,0.00217341,P,R
Birds,KonzaSongbirds,SedgeWren,0.006338782,-115.2286724,0.25,2.892857143,0,0.001434989,P,R
Birds,KonzaSongbirds,OrchardOriole,0.006527244,-113.6963281,0.464285714,2,0,0.001727055,P,R
Birds,KonzaSongbirds,EasternBluebird,0.009726969,-112.0060536,1,14.25,9,0.010873415,P,R
Birds,KonzaSongbirds,RosebreastedGrosbeak,0.003052226,-97.3353624,0.357142857,1.071428571,0,0.000666973,P,R
Birds,KonzaSongbirds,HenslowsSparrow,0.011642044,-85.91856563,0.892857143,13.78571429,8.5,0.009277503,P,R
Birds,KonzaSongbirds,HouseWren,0.006713585,-71.92993501,0.964285714,10.39285714,6.5,0.007344174,P,R
Birds,KonzaSongbirds,RedwingedBlackbird,0.016413407,-66.36558513,0.964285714,20.14285714,18,0.015845412,P,R
Birds,KonzaSongbirds,CommonYellowthroat,0.016150258,-65.03624205,0.964285714,17.28571429,17,0.014763677,P,R
Birds,KonzaSongbirds,TuftedTitmouse,0.011346644,-63.73903071,1,13.57142857,12,0.011836,P,R
Birds,KonzaSongbirds,EasternTowhee,0.009221274,-61.95247388,0.928571429,8.785714286,8,0.007945819,P,R
Birds,KonzaSongbirds,TreeSwallow,0.022073217,-61.26913351,0.5,20.75,2.5,0.013032311,P,R
Birds,KonzaSongbirds,BlueGrosbeak,0.008294323,-55.45014466,0.5,2.785714286,1,0.002840124,P,R
Birds,KonzaSongbirds,AmericanTreeSparrow,0.02611791,-51.84543023,0.678571429,28.75,11.5,0.02529207,P,R
Birds,KonzaSongbirds,WhitebreastedNuthatch,0.012771122,-45.15622357,1,16.67857143,13.5,0.014072451,P,R
Birds,KonzaSongbirds,YellowbilledCuckoo,0.020085956,-32.70273613,0.964285714,23.71428571,22,0.019687599,P,R
Birds,KonzaSongbirds,RedeyedVireo,0.004233375,-31.17689951,0.821428571,3.428571429,3,0.003246726,P,R
Birds,KonzaSongbirds,GreatCrestedFlycatcher,0.0137043,-31.00678686,0.964285714,16.07142857,13.5,0.01408096,P,R
Birds,KonzaSongbirds,LincolnsSparrow,0.004030572,-30.03563632,0.25,6.178571429,0,0.003198856,P,R
Birds,KonzaSongbirds,BlackcappedChickadee,0.019792433,-29.77725906,1,29.96428571,21.5,0.02220369,P,R
Birds,KonzaSongbirds,BluegrayGnatcatcher,0.016038226,-29.08750851,0.821428571,11.71428571,8,0.010433726,P,R
Birds,KonzaSongbirds,FieldSparrow,0.034818876,-28.67648032,0.964285714,39.53571429,33.5,0.031752021,P,R
Birds,KonzaSongbirds,AmericanGoldfinch,0.016463191,-27.99629361,0.964285714,19.67857143,14.5,0.015386341,P,R
Birds,KonzaSongbirds,GrayCatbird,0.011195172,-27.74320244,0.928571429,7.892857143,5.5,0.00775874,P,R
Birds,KonzaSongbirds,AmericanCrow,0.007008616,-27.1047295,0.928571429,9.107142857,7.5,0.008689488,P,R
Birds,KonzaSongbirds,AmericanRobin,0.033224947,-25.90754388,0.892857143,45.64285714,5.5,0.030054928,P,R
Birds,KonzaSongbirds,EasternKingbird,0.008243087,-24.95255241,0.892857143,11.53571429,12.5,0.009714105,P,R
Birds,KonzaSongbirds,RedheadedWoodpecker,0.052540952,-24.13626629,0.642857143,47.57142857,24,0.032277673,P,R
Birds,KonzaSongbirds,GrasshopperSparrow,0.040977587,-24.01942513,0.964285714,51.46428571,51.5,0.039950292,P,R
Birds,KonzaSongbirds,BrownThrasher,0.025402709,-23.19160984,0.964285714,28.14285714,28,0.02370554,P,R
Birds,KonzaSongbirds,BlueJay,0.018112611,-21.10722137,0.964285714,27.28571429,17,0.019988645,P,R
Birds,KonzaSongbirds,RedbelliedWoodpecker,0.015253821,-21.09316167,1,20.85714286,18,0.018274991,P,R
Birds,KonzaSongbirds,NorthernCardinal,0.009503798,-18.66903247,1,21.75,16,0.016211654,P,R
Birds,KonzaSongbirds,EasternWoodPewee,0.008916029,-17.50624509,0.928571429,9.928571429,10,0.009770959,P,R
Birds,KonzaSongbirds,CommonGrackle,0.003911375,-16.4604092,0.535714286,19,2,0.0114571,P,R
Birds,KonzaSongbirds,NorthernFlicker,0.002585978,-14.87007697,0.928571429,15.89285714,7.5,0.010347079,P,R
Birds,KonzaSongbirds,BellsVireo,0.032400894,-12.97518853,0.964285714,24.85714286,22,0.022560591,P,R
Birds,KonzaSongbirds,EasternMeadowlark,0.067266311,-11.51241956,0.964285714,85.46428571,70,0.065603525,P,R
Birds,KonzaSongbirds,IndigoBunting,0.027023813,-7.376043652,0.928571429,16.35714286,11,0.014551077,P,R
Birds,KonzaSongbirds,BrownheadedCowbird,0.116339707,-5.690339275,0.964285714,129.0714286,132,0.10796995,P,R
Birds,KonzaSongbirds,Dickcissel,0.224737382,-2.176100181,0.964285714,253.2857143,254,0.217529388,P,R
Birds,KonzaSongbirds,EuropeanStarling,0.037591597,34.20181044,0.321428571,9.25,0,0.004965937,N,R
Birds,KonzaSongbirds,YellowrumpedWarbler,0.012866529,69.46244824,0.214285714,1.25,0,0.000671093,N,R
Birds,KonzaSongbirds,EasternPhoebe,NA,NA,0.428571429,3.821428571,0,0.002369362,N,R
Birds,KonzaSongbirds,CommonNighthawk,NA,NA,0.928571429,4.357142857,3,0.003518297,N,R
Birds,KonzaWaterfowl,BeltedKingfisher,0.063175164,-15.28826377,0.5,1.607142857,0.5,0.047193806,P,R
Birds,KonzaWaterfowl,Killdeer,0.092847011,-11.26705686,0.321428571,1.357142857,0,0.029778268,P,R
Birds,KonzaWaterfowl,UplandSandpiper,0.845102008,-0.825123637,0.964285714,24.03571429,20,0.852793962,P,C
Birds,KonzaWaterfowl,Mallard,NA,NA,0.035714286,0.642857143,0,0.010204082,N,R
Birds,KonzaWaterfowl,WoodDuck,NA,NA,0.214285714,0.464285714,0,0.010355107,N,R
Birds,KonzaWaterfowl,GreenHeron,NA,NA,0.178571429,0.5,0,0.014268946,N,R
Birds,KonzaWaterfowl,GreatBlueHeron,NA,NA,0.178571429,0.428571429,0,0.035405829,N,R
Birds,Luquillo,ParulaWarbler,0.005900443,-2002.918838,0.15,0.55,0,0.000725866,P,R
Birds,Luquillo,BlackthroatedBlueWarbler,0.011765375,-265.2311156,0.25,1.5,0,0.001944514,P,R
Birds,Luquillo,PuertoRicanFlycatcher,0.007201323,-216.7391959,0.5,1.5,0.5,0.003065359,P,R
Birds,Luquillo,BluehoodedEuphonia,0.008064387,-77.19562724,0.8,3.05,2,0.006601742,P,R
Birds,Luquillo,AmericaRedstart,0.006050886,-66.42110077,0.3,1.5,0,0.002112997,P,R
Birds,Luquillo,RedleggedThrush,0.015186328,-50.96842523,1,7.9,4.5,0.017417264,P,R
Birds,Luquillo,PuertoRicoLizardCuckoo,0.021344372,-41.22235258,1,8.1,7,0.021764094,P,R
Birds,Luquillo,StripeheadedTanager,0.012923089,-38.60908628,0.75,4.3,2,0.01181916,P,R
Birds,Luquillo,RuddyQuailDove,0.025618784,-28.69890021,1,9.3,6.5,0.027257625,P,R
Birds,Luquillo,PuertoRicanBullfinch,0.043637629,-16.80822078,1,15.55,14.5,0.043164373,P,R
Birds,Luquillo,PearlyeyedThrasher,0.015619389,-11.22622069,0.5,7.45,0.5,0.013295911,P,R
Birds,Luquillo,PuertoRicanWoodpecker,0.039751876,-8.682959397,1,18.35,15.5,0.046127939,P,R
Birds,Luquillo,ScalynapedPigeon,0.205598458,-8.344717498,1,78.9,78,0.207850389,P,R
Birds,Luquillo,BlackwhiskeredVireo,0.20948901,-7.176004077,1,77.3,75.5,0.211086325,P,R
Birds,Luquillo,PuertoRicanTanager,0.060565294,-5.334919275,1,29.55,22.5,0.072862743,P,R
Birds,Luquillo,PuertoRicanTody,0.07191395,-4.472171914,1,34.55,23.5,0.084979395,P,R
Birds,Luquillo,Bananaquit,0.271112606,1.03640471,1,87.8,57.5,0.224885963,N,C
Birds,Luquillo,BlackandWhiteWarbler,NA,NA,0.25,0.6,0,0.000863374,N,R
Birds,Luquillo,GrayKingbird,NA,NA,0.25,0.6,0,0.002174968,N,R
Birds,Maine,GrayJay,0.006210432,-354.9443916,0.363636364,0.636363636,0,0.002036501,P,R
Birds,Maine,BlueheadedVireo,0.007913829,-311.9434569,0.363636364,1.181818182,0,0.003007935,P,R
Birds,Maine,RedbreastedNuthatch,0.011390077,-204.8379802,0.545454545,3.363636364,1,0.008671527,P,R
Birds,Maine,BlackthroatedGreenWarbler,0.006455501,-186.2037817,0.363636364,0.818181818,0,0.002382208,P,R
Birds,Maine,RubycrownedKinglet,0.010370813,-183.4548643,0.545454545,2,1,0.005210521,P,R
Birds,Maine,CommonRaven,0.003037373,-174.1501193,0.363636364,0.636363636,0,0.00190271,P,R
Birds,Maine,YellowbelliedFlycatcher,0.020781703,-143.2082777,0.545454545,3.909090909,3,0.010626554,P,R
Birds,Maine,BorealChickadee,0.009568839,-125.2432424,0.454545455,1.545454545,0,0.00476904,P,R
Birds,Maine,BlackthroatedBlueWarbler,0.003907407,-122.2189449,0.363636364,0.727272727,0,0.001952292,P,R
Birds,Maine,NashvilleWarbler,0.020498418,-120.54786,0.545454545,3.636363636,1,0.009181164,P,R
Birds,Maine,HermitThrush,0.004524887,-118.4634741,0.272727273,1.090909091,0,0.002628667,P,R
Birds,Maine,MagnoliaWarbler,0.027715095,-82.8403595,0.545454545,5,3,0.013190859,P,R
Birds,Maine,GoldencrownedKinglet,0.016381445,-71.25667865,0.545454545,3.090909091,4,0.009083003,P,R
Birds,Maine,Ovenbird,0.013590579,-67.00565008,0.454545455,1.636363636,0,0.005508441,P,R
Birds,Maine,DarkeyedJunco,0.037216094,-33.84045143,0.363636364,3.727272727,0,0.011534246,P,R
Birds,Maine,SlatecoloredJunco,0.041993141,-28.48296002,0.545454545,8.545454545,3,0.02208733,P,R
Birds,Maine,BicknellsThrush,0.077235147,-24.55300018,1,20.45454545,22,0.068131699,P,R
Birds,Maine,SwainsonsThrush,0.185148873,-16.70522298,1,55.63636364,57,0.173522024,P,R
Birds,Maine,MyrtleWarbler,0.057506284,-10.56511971,0.545454545,10.63636364,14,0.030518482,P,R
Birds,Maine,BlackpollWarbler,0.266098694,-2.628859771,1,59.54545455,57,0.203945208,P,R
Birds,Maine,EurasianWren,0.295248956,-0.640411714,1,47.45454545,42,0.173251695,P,R
Birds,Maine,WhitethroatedSparrow,0.071485959,0.615053053,1,63.72727273,65,0.224727535,N,C
Birds,Maine,PurpleFinch,0.012088538,114.6354102,0.363636364,1.272727273,0,0.003303829,N,R
Birds,Maine,FoxSparrow,0.001829354,227.1118234,0.363636364,0.818181818,0,0.002296815,N,R
Birds,Maine,BrownCreeper,NA,NA,0.272727273,0.272727273,0,0.000719616,N,R
Birds,Maine,LeastFlycatcher,NA,NA,0.272727273,0.818181818,0,0.001748486,N,R
Birds,Maine,RedeyedVireo,NA,NA,0.272727273,0.545454545,0,0.001852651,N,R
Birds,Maine,YellowrumpedWarbler,NA,NA,0.272727273,0.818181818,0,0.002208963,N,R
Birds,NewYork,CedarWaxwing,0.005735844,-1328.531126,0.454545455,2.454545455,0,0.002236063,P,R
Birds,NewYork,AmericanRobin,0.00184478,-1319.441837,0.272727273,0.545454545,0,0.0004315,P,R
Birds,NewYork,MourningDove,0.001859715,-1319.431803,0.363636364,0.818181818,0,0.000656523,P,R
Birds,NewYork,BlackandwhiteWarbler,0.002250342,-1119.607745,0.272727273,0.636363636,0,0.000496715,P,R
Birds,NewYork,CommonRaven,0.003089075,-669.4026611,0.454545455,1.727272727,0,0.001384261,P,R
Birds,NewYork,CanadaWarbler,0.000753178,-544.38936,0.363636364,0.454545455,0,0.00039617,P,R
Birds,NewYork,BlueJay,0.003457264,-494.1079835,0.545454545,2.363636364,1,0.00201222,P,R
Birds,NewYork,RedeyedVireo,0.003559006,-480.6801449,0.545454545,2.454545455,1,0.002075901,P,R
Birds,NewYork,YellowbelliedSapsucker,0.00377023,-442.7594979,0.454545455,2.181818182,0,0.001813342,P,R
Birds,NewYork,BrownCreeper,0.002636702,-410.9984516,0.363636364,1.181818182,0,0.001174654,P,R
Birds,NewYork,BorealChickadee,0.003616672,-384.7062839,0.454545455,2,0,0.001660888,P,R
Birds,NewYork,DarkeyedJunco,0.018188246,-345.4095581,0.363636364,7.363636364,0,0.005930288,P,R
Birds,NewYork,HairyWoodpecker,0.003036437,-320.1396501,0.363636364,0.818181818,0,0.000751888,P,R
Birds,NewYork,BlueheadedVireo,0.006512975,-230.5502604,0.545454545,3.727272727,2,0.00319905,P,R
Birds,NewYork,RubycrownedKinglet,0.006783259,-181.1521628,0.545454545,4.272727273,1,0.00380186,P,R
Birds,NewYork,GoldencrownedKinglet,0.008697762,-115.0368269,0.545454545,6,6,0.00550363,P,R
Birds,NewYork,PurpleFinch,0.007630581,-95.32109133,0.545454545,5.363636364,6,0.004671447,P,R
Birds,NewYork,BlackthroatedBlueWarbler,0.00014348,-94.48183567,0.545454545,2.363636364,1,0.002056849,P,R
Birds,NewYork,RedbreastedNuthatch,0.009006735,-89.87711074,0.545454545,6,5,0.005030823,P,R
Birds,NewYork,BlackcappedChickadee,0.001697838,-72.74817386,0.545454545,2.545454545,1,0.002263919,P,R
