year	area	total	Yellow.b.Sapsucker	Hairy.Woodpecker	Downy.Woodpecker	Least.Flycatcher	Black.c..Chickadee	Brown.Creeper	White.br..Nuthatch	Winter.Wren	Wood.thrush	Hermit.thrush	Veery	Swainsons.thrush	Philadelphia.Vireo	Solitary.Vireo	Red.eyed.Vireo	Bk..thr..Green.Warbler	Bk..thr..Blue.Warbler	Yellow.r..Warbler	Blackburnian.Warbler	Ovenbird	American.Redstart	Scarlet.tanager	Rose.br..Grosbeak	Dark.eyed.Junco	Purple.Finch
1979	hubbardbrook	146.50	4.00	3.00	2.00	22.00	0.00	0.00	1.00	0.00	7.00	0.00	3.00	7.00	2.00	-99.00	16.00	9.00	14.50	1.00	1.00	12.00	36.00	2.00	4.00	0.00	0.00
1980	hubbardbrook	129.50	2.00	2.00	4.00	15.00	2.00	2.00	2.00	1.00	3.00	2.00	1.00	3.00	3.00	0.00	13.00	10.00	8.00	-99.00	2.00	10.00	34.50	4.00	6.00	0.00	0.00
1981	hubbardbrook	113.00	2.50	2.00	-99.00	1.00	1.00	-99.00	3.00	0.50	0.50	1.00	2.00	2.00	2.00	0.00	26.00	9.00	12.00	0.00	3.50	10.00	22.00	5.00	8.00	0.00	0.00
1982	hubbardbrook	124.00	2.00	3.00	1.00	0.00	-99.00	0.00	2.00	0.00	2.00	1.00	3.00	1.00	2.00	0.00	23.00	8.50	14.00	1.00	4.50	11.00	32.00	6.00	7.00	0.00	0.00
1983	hubbardbrook	118.00	2.00	0.50	3.00	0.00	0.00	0.00	1.50	0.00	2.00	2.00	2.00	2.00	0.00	0.00	22.00	11.00	13.50	0.00	2.00	13.50	30.00	7.00	4.00	0.00	0.00
1984	hubbardbrook	88.50	2.00	1.00	1.50	-99.00	-99.00	0.00	2.50	0.00	1.00	3.50	2.00	2.00	0.00	0.00	20.50	7.00	9.50	0.00	1.00	11.00	14.00	4.00	5.00	1.00	-99.00
1985	hubbardbrook	114.00	1.00	2.00	2.00	0.00	1.00	0.00	2.00	0.00	1.00	2.00	4.50	4.00	0.00	0.50	21.50	15.00	8.50	3.00	0.50	10.00	27.00	3.00	5.50	0.00	0.00
1986	hubbardbrook	90.50	2.00	1.50	0.00	0.00	0.00	0.50	1.00	0.00	1.50	2.00	2.50	1.50	0.00	0.00	22.00	8.50	10.50	1.50	2.00	16.00	13.00	2.00	2.50	0.00	0.00
1987	hubbardbrook	84.50	2.00	1.50	-99.00	0.00	-99.00	0.00	1.00	0.50	0.00	2.00	1.50	2.00	0.00	0.50	19.50	12.00	11.50	0.00	0.00	15.50	11.00	1.50	2.50	0.00	0.00
1988	hubbardbrook	112.00	1.00	1.50	1.50	6.00	-99.00	0.50	1.00	1.00	-99.00	4.00	1.50	2.00	0.00	0.00	22.00	17.00	9.00	2.50	-99.00	21.50	13.50	2.00	2.50	2.00	0.00
1989	hubbardbrook	101.00	1.50	1.00	2.00	0.00	2.00	0.00	2.00	1.00	1.00	4.00	0.50	2.00	0.00	0.00	22.50	15.50	15.00	2.00	2.00	16.00	5.50	2.50	3.00	0.00	0.00
1990	hubbardbrook	132.00	3.00	1.00	-99.00	0.00	2.00	2.50	3.00	2.00	1.00	5.00	2.00	3.50	0.00	-99.00	24.00	17.50	16.00	2.00	1.00	20.00	18.50	1.50	4.50	2.00	0.00
1991	hubbardbrook	117.00	2.00	2.00	1.50	1.50	1.00	2.00	1.50	3.00	-99.00	2.00	2.50	2.50	0.00	2.50	25.50	13.50	13.50	2.00	2.50	17.50	14.00	2.50	2.00	0.00	0.00
1992	hubbardbrook	128.00	3.00	2.00	2.00	1.00	3.00	0.50	2.00	1.00	0.00	5.00	6.00	3.50	0.00	2.00	15.00	18.00	15.00	3.00	3.00	15.50	19.00	4.50	4.00	0.00	0.00
1993	hubbardbrook	92.50	1.00	1.00	-99.00	0.00	2.00	0.00	2.00	-99.00	0.00	3.00	3.50	2.50	0.00	2.00	16.50	17.50	11.00	-99.00	-99.00	13.50	13.00	3.50	0.50	0.00	0.00
1994	hubbardbrook	83.00	2.50	1.00	2.50	0.00	2.00	1.50	1.00	1.00	0.00	3.50	4.00	0.00	0.00	1.00	18.50	13.50	7.00	0.00	0.00	9.00	7.50	3.50	2.00	2.00	0.00
1995	hubbardbrook	70.00	2.00	2.00	-99.00	0.00	2.00	0.00	-99.00	-99.00	0.00	2.00	3.00	0.00	0.00	0.00	18.00	14.00	10.00	0.00	0.00	11.00	2.00	2.00	2.00	0.00	0.00
1996	hubbardbrook	90.50	2.00	2.00	-99.00	0.00	-99.00	1.00	3.00	1.50	0.00	5.00	3.00	0.50	0.00	0.00	19.00	16.00	5.50	2.00	3.50	12.00	10.50	2.00	2.00	0.00	0.00
1997	hubbardbrook	86.50	3.00	1.00	1.00	0.00	2.00	0.00	1.50	0.00	0.00	1.00	2.50	2.00	0.00	0.00	22.00	8.50	8.50	2.50	4.00	10.50	10.50	2.00	4.00	0.00	0.00
1998	hubbardbrook	71.50	2.00	-99.00	-99.00	0.00	1.00	2.00	-99.00	4.00	0.00	3.00	2.00	0.00	0.00	0.00	17.00	11.00	8.50	0.00	0.00	9.00	10.00	2.00	-99.00	0.00	0.00
1999	hubbardbrook	84.50	1.50	2.50	1.00	0.00	3.50	0.00	2.00	1.00	0.00	3.00	2.50	0.00	0.00	3.00	23.50	12.50	11.00	0.00	0.00	4.00	9.50	2.00	2.00	0.00	0.00
2000	hubbardbrook	88.50	3.00	2.00	-99.00	0.00	-99.00	2.00	2.00	1.00	0.00	3.00	0.00	0.00	0.00	1.50	28.00	15.50	10.50	2.00	2.00	7.50	7.50	1.00	-99.00	0.00	0.00
2001	hubbardbrook	91.00	3.00	2.00	0.00	0.00	-99.00	2.00	1.00	-99.00	0.00	4.50	-99.00	4.00	0.00	3.50	29.00	13.50	9.00	4.00	4.00	7.00	4.00	0.50	-99.00	0.00	0.00
2002	hubbardbrook	70.50	2.00	1.00	-99.00	0.00	-99.00	2.00	2.00	1.00	0.00	3.00	-99.00	-99.00	0.00	0.00	19.00	16.00	9.00	2.00	3.00	7.50	2.00	1.00	-99.00	0.00	0.00
2003	hubbardbrook	89.00	4.00	3.00	2.00	0.00	2.00	-99.00	2.00	0.00	0.00	4.50	0.00	-99.00	0.00	3.00	21.00	13.00	7.50	2.00	3.00	8.00	7.00	5.00	2.00	0.00	0.00
2004	hubbardbrook	75.50	4.00	2.00	2.00	0.00	1.00	-99.00	-99.00	3.00	0.00	3.00	0.00	-99.00	0.00	-99.00	21.00	13.50	6.00	0.00	2.00	8.00	2.00	4.00	4.00	0.00	0.00
2005	hubbardbrook	94.50	5.00	2.50	1.00	0.00	2.00	0.00	0.00	2.00	0.00	4.50	1.00	-99.00	0.00	-99.00	24.50	13.00	8.00	2.00	4.00	15.50	1.00	5.50	3.00	0.00	0.00
2006	hubbardbrook	105.50	2.00	3.00	2.00	0.00	4.00	2.00	2.00	1.50	0.00	6.50	0.00	0.00	0.00	3.00	22.00	17.50	10.00	4.50	2.00	15.00	2.00	4.00	2.50	0.00	0.00
2007	hubbardbrook	97.00	4.00	4.00	-99.00	0.00	3.00	1.00	2.00	1.00	0.00	4.50	0.00	-99.00	0.00	2.00	19.00	16.00	10.50	2.00	2.00	20.00	2.00	1.50	2.50	0.00	0.00
2008	hubbardbrook	91.50	3.50	2.50	-99.00	0.00	0.00	-99.00	-99.00	2.50	0.00	4.50	0.00	2.00	0.00	4.00	19.50	15.50	5.00	0.50	2.00	21.00	3.00	3.00	3.00	0.00	0.00
2009	hubbardbrook	103.50	3.50	2.50	0.00	0.00	0.50	0.00	0.50	0.00	0.00	6.50	0.00	2.00	0.00	2.50	27.00	24.50	6.50	0.00	2.00	21.50	0.50	1.50	2.00	0.00	0.00
2010	hubbardbrook	106.50	4.50	2.50	3.00	0.00	-99.00	4.00	-99.00	1.00	0.00	5.50	0.00	3.00	0.00	-99.00	23.50	20.50	7.50	2.50	4.00	17.00	-99.00	4.50	3.50	0.00	0.00
