year,area,total,Yellow-b.Sapsucker,Hairy Woodpecker,Downy Woodpecker,Least Flycatcher,Black-c. Chickadee,Brown Creeper,White-br. Nuthatch,Winter Wren,Wood thrush,Hermit thrush,Veery,Swainson's thrush,Philadelphia Vireo,Solitary Vireo,Red-eyed Vireo,Bk.-thr. Green Warbler,Bk.-thr. Blue Warbler,Yellow-r. Warbler,Blackburnian Warbler,Ovenbird,American Redstart,Scarlet tanager,Rose-br. Grosbeak,Dark-eyed Junco,Purple Finch
1981,hubbardbrook,113,2.5,2,-99,1,1,-99,3,0.5,0.5,1,2,2,2,0,26,9,12,0,3.5,10,22,5,8,0,0
1982,hubbardbrook,124,2,3,1,0,-99,0,2,0,2,1,3,1,2,0,23,8.5,14,1,4.5,11,32,6,7,0,0
1983,hubbardbrook,118,2,0.5,3,0,0,0,1.5,0,2,2,2,2,0,0,22,11,13.5,0,2,13.5,30,7,4,0,0
1984,hubbardbrook,88.5,2,1,1.5,-99,-99,0,2.5,0,1,3.5,2,2,0,0,20.5,7,9.5,0,1,11,14,4,5,1,-99
1985,hubbardbrook,114,1,2,2,0,1,0,2,0,1,2,4.5,4,0,0.5,21.5,15,8.5,3,0.5,10,27,3,5.5,0,0
1986,hubbardbrook,90.5,2,1.5,0,0,0,0.5,1,0,1.5,2,2.5,1.5,0,0,22,8.5,10.5,1.5,2,16,13,2,2.5,0,0
1987,hubbardbrook,84.5,2,1.5,-99,0,-99,0,1,0.5,0,2,1.5,2,0,0.5,19.5,12,11.5,0,0,15.5,11,1.5,2.5,0,0
1988,hubbardbrook,112,1,1.5,1.5,6,-99,0.5,1,1,-99,4,1.5,2,0,0,22,17,9,2.5,-99,21.5,13.5,2,2.5,2,0
1989,hubbardbrook,101,1.5,1,2,0,2,0,2,1,1,4,0.5,2,0,0,22.5,15.5,15,2,2,16,5.5,2.5,3,0,0
1990,hubbardbrook,132,3,1,-99,0,2,2.5,3,2,1,5,2,3.5,0,-99,24,17.5,16,2,1,20,18.5,1.5,4.5,2,0
1991,hubbardbrook,117,2,2,1.5,1.5,1,2,1.5,3,-99,2,2.5,2.5,0,2.5,25.5,13.5,13.5,2,2.5,17.5,14,2.5,2,0,0
1992,hubbardbrook,128,3,2,2,1,3,0.5,2,1,0,5,6,3.5,0,2,15,18,15,3,3,15.5,19,4.5,4,0,0
1993,hubbardbrook,92.5,1,1,-99,0,2,0,2,-99,0,3,3.5,2.5,0,2,16.5,17.5,11,-99,-99,13.5,13,3.5,0.5,0,0
1994,hubbardbrook,83,2.5,1,2.5,0,2,1.5,1,1,0,3.5,4,0,0,1,18.5,13.5,7,0,0,9,7.5,3.5,2,2,0
1995,hubbardbrook,70,2,2,-99,0,2,0,-99,-99,0,2,3,0,0,0,18,14,10,0,0,11,2,2,2,0,0
1996,hubbardbrook,90.5,2,2,-99,0,-99,1,3,1.5,0,5,3,0.5,0,0,19,16,5.5,2,3.5,12,10.5,2,2,0,0
1997,hubbardbrook,86.5,3,1,1,0,2,0,1.5,0,0,1,2.5,2,0,0,22,8.5,8.5,2.5,4,10.5,10.5,2,4,0,0
1998,hubbardbrook,71.5,2,-99,-99,0,1,2,-99,4,0,3,2,0,0,0,17,11,8.5,0,0,9,10,2,-99,0,0
1999,hubbardbrook,84.5,1.5,2.5,1,0,3.5,0,2,1,0,3,2.5,0,0,3,23.5,12.5,11,0,0,4,9.5,2,2,0,0
2000,hubbardbrook,88.5,3,2,-99,0,-99,2,2,1,0,3,0,0,0,1.5,28,15.5,10.5,2,2,7.5,7.5,1,-99,0,0
2001,hubbardbrook,91,3,2,0,0,-99,2,1,-99,0,4.5,-99,4,0,3.5,29,13.5,9,4,4,7,4,0.5,-99,0,0
2002,hubbardbrook,70.5,2,1,-99,0,-99,2,2,1,0,3,-99,-99,0,0,19,16,9,2,3,7.5,2,1,-99,0,0
2003,hubbardbrook,89,4,3,2,0,2,-99,2,0,0,4.5,0,-99,0,3,21,13,7.5,2,3,8,7,5,2,0,0
2004,hubbardbrook,75.5,4,2,2,0,1,-99,-99,3,0,3,0,-99,0,-99,21,13.5,6,0,2,8,2,4,4,0,0
2005,hubbardbrook,94.5,5,2.5,1,0,2,0,0,2,0,4.5,1,-99,0,-99,24.5,13,8,2,4,15.5,1,5.5,3,0,0
2006,hubbardbrook,105.5,2,3,2,0,4,2,2,1.5,0,6.5,0,0,0,3,22,17.5,10,4.5,2,15,2,4,2.5,0,0
2007,hubbardbrook,97,4,4,-99,0,3,1,2,1,0,4.5,0,-99,0,2,19,16,10.5,2,2,20,2,1.5,2.5,0,0
2008,hubbardbrook,91.5,3.5,2.5,-99,0,0,-99,-99,2.5,0,4.5,0,2,0,4,19.5,15.5,5,0.5,2,21,3,3,3,0,0
2009,hubbardbrook,103.5,3.5,2.5,0,0,0.5,0,0.5,0,0,6.5,0,2,0,2.5,27,24.5,6.5,0,2,21.5,0.5,1.5,2,0,0
2010,hubbardbrook,106.5,4.5,2.5,3,0,-99,4,-99,1,0,5.5,0,3,0,-99,23.5,20.5,7.5,2.5,4,17,-99,4.5,3.5,0,0
